DTL_ADRES,XCORD,LO,CHCK_MATTER_WKEND_HDAY_OPN_AT,WKEND_HDAY_OPER_BEGIN_TIME,MODF_TIME,ARCD,WKDAY_OPER_BEGIN_TIME,YEAR,USE_PSBL_NMPR,CHCK_MATTER_NIGHT_OPN_AT,RSTR_NM,WKEND_HDAY_OPER_END_TIME,CHCK_MATTER_STAYNG_PSBL_AT,MNGDPT_CD,COLR_HOLD_ARCNDTN,OPER_END_DE,RN_DTL_ADRES,OPER_BEGIN_DE,FCLTY_OPRN_AT,INPT_TIME,DTL_POSITION,WKDAY_OPER_END_TIME,FCLTY_SCLAS,COLR_HOLD_ELEFN,AR,YCORD,USE_AT,LA,RSTR_FCLTY_NO,RM,FCLTY_TY
"298-1",,126.468315,"Y","0900","2024-09-04 06:45:32.000","2871039000","0900","2025",16,"Y","솔정1리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 송해면강화대로674번길 59 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,66.84,,"Y",37.765265,28710188,,"003"
"357-0",,126.463366,"Y","0900","2024-09-04 06:50:25.000","2871039000","0900","2025",40,"Y","솔정2리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 송해면전망대로 25","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,163.41,,"Y",37.764295,28710189,,"003"
"397-3",,126.467391,"Y","0900","2024-09-04 06:53:02.000","2871039000","0900","2025",34,"Y","하도1리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 송해면강화대로639번길 29-5","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,136.2,,"Y",37.756524,28710191,,"003"
"663-1",,126.451943,"Y","0900","2024-09-03 18:25:10.000","2871039000","0900","2025",33,"Y","하도2리경로당","1800","Y","3570171",1,"20241015","인천광역시 강화군 송해면강화대로833번길 23","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,132,,"Y",37.763607,28710192,,"003"
"1524-0",,126.714103,"N",,"2025-01-15 16:32:05.000","2820051000","0900","2025",33,"N","구월아시아드선수촌6단지아파트경로당",,"N","3530199",1,"20230930","인천광역시 남동구 선수촌로 27","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,117,,"Y",37.441666,28200009,,"003"
"1554-0",,126.71569,"N",,"2024-07-24 13:56:13.000","2820051000","1000","2025",40,"N","구월아시아드선수촌8단지",,"N","3530199",3,"20230930","인천광역시 남동구 선수촌로 8","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",2,157,,"Y",37.440142,28200010,,"003"
"1513-0",,126.715419,"N",,"2025-01-22 16:34:55.000","2820051000","1000","2025",50,"N","구월아시아드선수촌5단지경로당",,"N","3530199",3,"20230930","인천광역시 남동구 선수촌로 56","20230520","Y","2021-03-08 09:03:04.000",,"1600","001",3,162,,"Y",37.444044,28200011,,"003"
"20 구월 힐스테이트",,126.713131,"N","1300","2024-07-24 13:56:13.000","2820051000","1300","2025",21,"N","힐스테이트3단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 용천로87번길 23 (구월동, 구월 힐스테이트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,154,,"Y",37.456799,28200015,,"003"
"342-1 신세계아파트 신세계A 경로당",,126.720675,"N","1300","2024-07-24 13:56:13.000","2820051000","1300","2025",20,"N","신세계A경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 호구포로 858 , 신세계A 경로당 (구월동, 신세계아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",4,99.17,,"Y",37.4578,28200016,,"003"
"난정리 1159-1 난정1리복지회관",,126.2344063,"N","0900","2024-05-10 19:49:56.000","2871040000","0900","2025",52,"N","난정1리경로당","1800","N","3570171",1,"20241015","인천광역시 강화군 교동면 교동서로340번길 97 , 난정1리복지회관","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,141,,"Y",37.774891,28710212,,"003"
"1856-1",,126.382824,"Y","0900","2024-09-05 13:40:44.000","2871034000","0900","2025",40,"Y","내4리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 화도면해안남로 2752-6","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,123.18,,"Y",37.636083,28710110,,"003"
"417-2",,126.433435,"Y","0900","2024-09-05 13:41:37.000","2871034000","0900","2025",70,"Y","문산리경로당","1800","Y","3570171",1,"20241015","인천광역시 강화군 화도면마니산로 566","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,130.68,,"Y",37.632052,28710111,,"003"
"1027-0",,126.76081,"N",,"2025-05-09 10:59:47.000","4119266000","1000","2025",30,"N","한라주공3차경로당",,"N","3860514",2,"20240930","경기도 부천시 원미구 도약로 106","20240520","Y","2021-04-20 16:33:37.000",,"1700","001",2,82.5,,"Y",37.509938,41190827,,"003"
"1030-0",,126.760173,"N",,"2025-05-09 11:00:07.000","4119266000","1200","2025",20,"N","금강마을경로당",,"N","3860514",2,"20240930","경기도 부천시 원미구 계남로 106","20240520","Y","2021-04-20 16:33:37.000",,"1700","001",2,127.9,,"Y",37.5074,41190828,,"003"
"6873-8",,126.625647,"N","1000","2025-04-30 16:54:27.000","4157057000","1100","2025",60,"N","한가람우미린아파트경로당","1800","N","4090449",1,"20230930","경기도 김포시 김포한강5로 417 (구래동, 한가람마을 우미린)","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",1,276.5,,"Y",37.6493578,41570095,,"003"
"1339-0",,126.6709622,"N","0900","2025-04-29 13:16:57.000","4157052500","1300","2025",44,"N","청송1단지아파트경로당","1800","N","4090449",2,"20240930","경기도 김포시 청송로 70 (장기동, 청송마을현대아파트)","20240520","Y","2021-03-09 15:48:45.000",,"1700","001",2,50,,"Y",37.650622,41570096,,"003"
"228-1",,126.434438,"Y","0900","2024-09-04 12:14:13.000","2871037000","0900","2025",50,"Y","장정2리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 하점면장정양오길 139 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,196.38,,"Y",37.782671,28710163,,"003"
"1849-1",,126.7289633,"N","0900","2024-06-09 18:37:19.000","4139059200","0900","2025",80,"N","정왕2동행정복지센터","2000","N","4010322",2,"20240930","경기도 시흥시 정왕대로 122 (정왕동)","20240520","Y","2021-03-30 10:02:02.000",,"2200","001",4,200,,"Y",37.3510532,41390183,,"001"
"243-4",,126.435682,"Y","0900","2024-09-05 12:15:29.000","2871034000","0900","2025",50,"Y","동막리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 화도면해안남로 1706 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,152.64,,"Y",37.597353,28710095,,"003"
"722-1",,126.6535111,"N",,"2025-05-13 17:26:15.000","2826051500","0900","2025",20,"N","태평샹베르1차경로당",,"N","3560247",2,"99991231","인천광역시 서구 경서로 83","20210520","Y","2021-04-26 16:50:22.000",,"1800","001",3,80,,"Y",37.5597774,28260102,,"003"
"703-4",,126.412313,"Y","0900","2024-09-05 09:04:30.000","2871035000","0900","2025",25,"Y","인산2리(서성)경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 양도면중앙로979번길 28 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,85.5,,"Y",37.697112,28710134,,"003"
"1188-3",,126.406541,"Y","0900","2024-09-05 09:06:17.000","2871035000","0900","2025",27,"Y","인산2리(야곡)경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 양도면중앙로1052번길 20 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,177.64,,"Y",37.700847,28710135,,"003"
"549-0",,126.737468,"N","1200","2024-07-24 13:56:14.000","2820069000","1000","2025",52,"N","논현한라아파트경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 포구로 64-6","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",2,58,,"Y",37.404144,28200180,,"003"
"599-1",,126.7367274,"N",,"2024-07-24 13:56:14.000","2820069000","1300","2025",15,"N","등대마을사할린경로당",,"N","3530199",2,"20230930","인천광역시 남동구 청능대로715번길 24","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",3,57,,"Y",37.4090827,28200181,,"003"
"66-24",,126.737973,"N",,"2024-07-24 13:56:14.000","2820069000","0900","2025",15,"N","유호엔씨티경로당",,"N","3530199",2,"20230930","인천광역시 남동구 포구로 35","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",3,64,,"Y",37.401463,28200182,,"003"
"740-1",,126.722877,"N","1300","2024-07-24 13:56:14.000","2820071000","0900","2025",47,"N","소래휴먼시아1단지","1700","N","3530199",1,"20230930","인천광역시 남동구 앵고개로815번길 70","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,138,,"Y",37.397392,28200211,,"003"
"603-5",,126.729293,"N",,"2024-07-24 13:56:14.000","2820069000","0900","2025",30,"N","논현1동행정복지센터",,"N","3530199",4,"20230930","인천광역시 남동구 소래역로 115","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",0,1999,,"Y",37.4056513,28200183,,"001"
"635-3",,126.7156517,"N",,"2024-07-24 13:56:14.000","2820069000","1000","2025",30,"N","논현하늘마을4단지경로당",,"N","3530199",0,"20230930","인천광역시 남동구 논현로 81","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",3,137,,"Y",37.4025178,28200185,,"003"
"1940-1",,126.40269,"Y","0900","2024-09-05 09:08:07.000","2871035000","0900","2025",36,"Y","인산1리(누촌)경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 양도면중앙로1094번길 6 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",2,118.11,,"Y",37.701575,28710136,,"003"
"634-1",,126.71861,"N",,"2024-07-24 13:56:14.000","2820070000","0900","2025",46,"N","어진마을한화꿈에그린6단지",,"N","3530199",1,"20230930","인천광역시 남동구 논현로 106","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,230,,"Y",37.401623,28200186,,"003"
"563-2",,126.712179,"N",,"2024-07-24 13:56:14.000","2820069000","0900","2025",45,"N","동보아파트경로당",,"N","3530199",1,"20230930","인천광역시 남동구 남동대로370번길 122","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,148,,"Y",37.412746,28200187,,"003"
"793-12",,126.466061,"Y","0900","2024-09-05 09:09:51.000","2871035000","0900","2025",60,"Y","길정리(정하)경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 양도면 정문길 31","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",2,140.87,,"Y",37.651666,28710137,,"003"
"744-13",,126.6527825,"N",,"2025-05-13 17:28:47.000","2826051500","0900","2025",20,"N","경서동경로당",,"N","3560247",3,"99991231","인천광역시 서구 경서로55번길 7","20210520","Y","2021-04-26 16:50:22.000",,"1800","001",4,80,,"Y",37.5571416,28260103,,"003"
"778-1",,126.411656,"Y","0900","2024-09-05 09:03:01.000","2871035000","0900","2025",55,"Y","인산2리(황곡)경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 양도면중앙로994번길 10 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,141,,"Y",37.700747,28710133,,"003"
"915-14",,126.391289,"Y","0900","2024-09-04 14:48:55.000","2871036000","0900","2025",41,"Y","고천2리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 내가면강화서로 220-1 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",2,164,,"Y",37.716623,28710139,,"003"
"251-0",,126.423082,"Y","0900","2024-09-04 14:52:47.000","2871036000","0900","2025",38,"Y","고천4리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 내가면연촌길 8 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",2,153,,"Y",37.731342,28710140,,"003"
"305-8",,126.5575164,"N","0900","2025-04-30 15:31:09.000","4157035000","1300","2025",42,"N","고막1리경로당","1700","N","4090449",2,"20230930","경기도 김포시 월곶면 김포대학로 232-1 ","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",2,137.38,,"Y",37.7252431,41570068,,"003"
"1256-1",,126.424895,"Y","0900","2024-09-05 12:19:09.000","2871034000","0900","2025",50,"Y","흥왕1리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 화도면해안남로 1825-9","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,170.34,,"Y",37.602983,28710096,,"003"
"575-0",,126.416702,"Y","0900","2024-09-05 12:46:43.000","2871034000","0900","2025",50,"Y","흥왕2리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 화도면해안남로 1915-6 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,165.58,,"Y",37.607947,28710097,,"003"
"805-1",,126.392078,"Y","0900","2024-09-05 12:49:39.000","2871034000","0900","2025",50,"Y","여차1리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 화도면해안남로 2245 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,162.02,,"Y",37.609188,28710098,,"003"
"1003-0",,126.410371,"Y","0900","2024-09-05 12:54:35.000","2871034000","0900","2025",50,"Y","여차2리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 화도면 해안남로2029번길 11-10","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",3,191.43,,"Y",37.599568,28710099,,"003"
"1388-1",,126.382061,"Y","0900","2024-09-05 12:56:29.000","2871034000","0900","2025",60,"Y","장화1리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 화도면해안남로 2407 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",2,165.74,,"Y",37.617982,28710100,,"003"
"267-2",,126.552803,"N","0900","2025-04-30 16:47:51.000","4157035000","1300","2025",88,"N","용강리경로당","1800","N","4090449",1,"20230930","경기도 김포시 월곶면 용강로437번길 98 ","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",1,291.76,,"Y",37.7586456,41570069,,"003"
"125-1",,126.5360009,"N","1300","2025-04-30 15:30:20.000","4157035000","1300","2025",102,"N","성동2리경로당","1800","N","4090449",2,"20230930","경기도 김포시 월곶면 문수산로252번길 7 ","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,337.68,,"Y",37.7507591,41570071,,"003"
"206-8",922890.558432,126.6246682,"N","0900","2025-04-29 13:48:28.000","4157036000","1300","2025",45,,"마근포리경로당","1800",,"4090449",1,"20230930","경기도 김포시 하성면 마근포로 123-2 ","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",1,147.9,1972972.582043,"Y",37.7531489,41570072,,"003"
"584-2",923922.610086,126.6367865,,,"2025-04-29 13:40:38.000","4157036000","1300","2025",33,,"마곡4리경로당",,,"4090449",1,"20230930","경기도 김포시 하성면 하성로 480-17 ","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",1,109.59,1969114.727173,"Y",37.7184673,41570073,,"003"
"705-15",,126.6783271,"N",,"2024-07-24 13:56:14.000","2820071000","0900","2025",42,"N","NH농협은행남동국가산단지점",,"N","3530199",1,"20230930","인천광역시 남동구 능허대로 583 (고잔동)","20230620","Y","2023-06-23 11:02:53.000",,"1600","001",0,384,,"Y",37.3936002,2820000254,,"004"
"766-1",,126.722828,"N","1300","2024-07-24 13:56:14.000","2820069000","0900","2025",33,"N","에코메트로9단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 에코중앙로 96","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",1,269,,"Y",37.386299,28200209,,"003"
"180-1",,126.443091,"Y","0900","2024-09-04 12:16:47.000","2871037000","0900","2025",40,"Y","부근1리경로당","1800",,"3570171",2,"20241015","인천광역시 강화군 하점면강화대로 911-13 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,147.45,,"Y",37.768375,28710164,,"003"
"75-180",927798.321742,126.6835698,"N",,"2025-05-13 09:48:35.000","2817762000","0900","2025",12,"N","인정경로당",,"N","3510566",1,"20200904","인천광역시 미추홀구 주안중로38번길 13","20200518","Y","2021-03-05 11:57:13.000",,"1800","001",3,104,1940605.372128,"Y",37.4618374,28177038,,"003"
"195-1",927322.1438,126.678217,"N",,"2025-05-13 09:48:36.000","2817762000","0900","2025",30,"N","농협은행인천옹진군지부",,"N","3510566",1,"20200930","인천광역시 미추홀구 경인로 341","20200810","Y","2021-03-05 11:57:13.000",,"1600","001",1,1924,1940289.802551,"Y",37.4589559,28177040,,"004"
"90-7",,126.652089,"N","0900","2025-04-29 13:45:39.000","4157036000","1300","2025",30,"N","석탄5리경로당","1800","N","4090449",2,"20230930","경기도 김포시 하성면 석평로 222 ","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",2,99,,"Y",37.7298945,41570084,,"003"
"686-0",,126.7010916,"N","0900","2025-04-30 16:43:57.000","4157051500","0900","2025",10,"N","신안실크밸리경로당","1800","N","4090449",2,"20240930","경기도 김포시 감정로 64 (감정동)","20240520","Y","2021-03-09 15:48:45.000",,"1800","001",1,33,,"Y",37.6179547,41570087,,"003"
"703-0",,126.705613,"N",,"2025-04-29 10:13:28.000","4157051500","0900","2025",10,"N","김포본동행정복지센터",,"N","4090449",1,"20240930","경기도 김포시 북변1로 13 (북변동)","20240520","Y","2021-03-09 15:48:45.000",,"1800","001",0,33,,"Y",37.627561,41570088,,"001"
"261-2",,126.442163,"Y","0900","2024-09-04 09:05:26.000","2871038000","0900","2025",50,"Y","철산리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 양사면덕하로387번길 18-3 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,101.52,,"Y",37.816747,28710176,,"003"
"103-13",,126.419969,"Y","0900","2024-09-04 09:08:36.000","2871038000","0900","2025",50,"Y","덕하1리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 양사면덕하로 127 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,119.64,,"Y",37.80193,28710177,,"003"
"6895-4",,126.6253626,"N","1000","2025-04-29 13:34:48.000","4157057000","1100","2025",61,"N","김포한강나비마을3단지경로당","1800","N","4090449",2,"20230930","경기도 김포시 김포한강10로134번길 77 (구래동, 김포한강나비마을엘에이치3단지)","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,200,,"Y",37.6417251,41570089,,"003"
"1227-0",,126.709,"N","0900","2025-04-30 15:59:35.000","4157054000","1300","2025",70,,"농장마을신안아파트경로당","1800",,"4090449",2,"20230930","경기도 김포시 봉화로 59-17 (사우동, 농장마을신안아파트)","20230520","Y","2023-05-11 18:30:20.000","경로당","1700","001",2,146.25,,"Y",37.61946,4157000155,,"003"
"993-0",,126.7311368,"N","0900","2024-07-24 13:56:14.000","2820056000","0900","2025",15,"N","만수역","1700","N","3530199",0,"20230825","인천광역시 남동구 구월로 364-2 (만수동)","20230731","Y","2023-08-20 10:43:06.000",,"1700","001",1,49.5,,"Y",37.4550776,2820000264,,"001"
"688-0",,126.703212,"N","0900","2025-04-30 15:55:27.000","4157051500","1000","2025",10,"N","북변대우아파트경로당","1800","N","4090449",1,"20240930","경기도 김포시 봉화로182번길 33 (북변동, 북변대우아파트)","20240520","Y","2021-03-09 15:48:45.000",,"1700","001",3,120,,"Y",37.6295844,41570090,,"003"
"690-0",,126.7046423,"N","0900","2025-04-30 15:54:09.000","4157051500","1000","2025",35,"N","산호아파트경로당","1800","N","4090449",1,"20240930","경기도 김포시 북변1로16번길 34 (북변동, 북변산호아파트)","20240520","Y","2021-03-09 15:48:45.000",,"1700","001",2,120,,"Y",37.6285746,41570091,,"003"
"266-1",927184.526299,126.6766083,"N",,"2025-05-13 09:48:37.000","2817762000","0900","2025",20,"N","주안1동행정복지센터",,"N","3510566",2,"20200930","인천광역시 미추홀구 주안서로53번길 22","20200727","Y","2021-03-05 11:57:13.000",,"1800","001",2,65,1940823.62495,"Y",37.4637563,28177041,,"001"
"599-19",926715.145067,126.6713944,"N",,"2025-05-13 09:48:39.000","2817763000","0900","2025",18,"N","장수경로당",,"N","3510566",1,"20200904","인천광역시 미추홀구 한나루로550번길 25","20200518","Y","2021-03-05 11:57:13.000",,"1800","001",3,149,1939885.792118,"Y",37.4552667,28177042,,"003"
"921-0",,126.670152,,,"2025-05-12 14:04:03.000","2818578000","1000","2025",30,,"동춘마을(아)경로당",,,"3520229",2,"20240930","인천광역시 연수구 먼우금로 123","20240520","Y","2021-03-29 14:09:24.000",,"1800","001",3,132,,"Y",37.411128,28185032,,"003"
"943-3",,126.669296,,,"2025-05-12 11:34:12.000","2818579000","0900","2025",105,,"동춘2동주민센터",,,"3520229",1,"20240930","인천광역시 연수구 먼우금로 41","20240520","Y","2021-03-29 14:09:24.000",,"1800","001",4,422,,"Y",37.402694,28185033,,"001"
"594-41",926831.850054,126.67272,"N",,"2025-05-13 09:48:40.000","2817763000","0900","2025",20,"N","주안2동행정복지센터",,"N","3510566",2,"20200930","인천광역시 미추홀구 남주길43번길 14-29 (주안동)","20200727","Y","2021-03-05 11:57:13.000",,"1800","001",2,60,1939822.97016,"Y",37.4547098,28177043,,"001"
"697-6",921687.150838,126.6118419,"N","0900","2025-04-30 15:24:03.000","4157025000","1300","2025",22,,"도사6리경로당","1800",,"4090449",1,"20230930","경기도 김포시 통진읍 김포대로 2093-20 ","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",2,74.14,1965234.21904,"Y",37.6833066,41570021,,"003"
"40-41",,126.6064839,"N","0900","2025-04-30 15:11:41.000","4157025000","1300","2025",24,"N","가현5리경로당","1800","N","4090449",1,"20230930","경기도 김포시 통진읍 마송1로16번길 18-41","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,78,,"Y",37.6822258,41570022,,"003"
"634-1",,126.63939,,"0900","2025-04-30 16:21:18.000","4157057500","0900","2025",1033,,"마산도서관","1700",,"4090449",101,"20230930","경기도 김포시 김포한강7로22번길 174-16 (마산동)","20230520","Y","2023-06-13 21:36:29.000",,"2200","002",0,3408,,"Y",37.64249,4157000167,,"001"
"509-89",,126.6302385,"N","0900","2025-04-30 15:23:29.000","4157025000","1300","2025",31,"N","수참2리경로당","1800","N","4090449",4,"20230930","경기도 김포시 통진읍 김포대로1938번길 60","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,103.05,,"Y",37.6800259,41570023,,"003"
"301-1",,126.5920229,"N","0900","2025-04-30 15:25:55.000","4157025000","1300","2025",3,"N","고정1리경로당","1800","N","4090449",1,"20230930","경기도 김포시 통진읍 고정로218번길 43","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",5,11.42,,"Y",37.7217817,41570024,,"003"
"522-4",,126.6129987,"N","0900","2025-04-30 15:09:13.000","4157025000","1300","2025",80,"N","귀전2리경로당","1800","N","4090449",2,"20230930","경기도 김포시 통진읍월하로 515","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",2,264.65,,"Y",37.7123497,41570025,,"003"
"866-67",926682.147487,126.671134,"N",,"2025-05-13 09:48:43.000","2817764000","0900","2025",459,"N","남구노인복지관",,"N","3510566",8,"20200904","인천광역시 미추홀구 학익소로37번길 17","20200518","Y","2021-03-05 11:57:13.000",,"1800","001",45,3859,1938752.712955,"Y",37.4450519,28177045,,"003"
"867-9",926930.519448,126.6739432,"N",,"2025-05-13 09:48:44.000","2817764000","0900","2025",10,"N","주안3동행정복지센터",,"N","3510566",2,"20200930","인천광역시 미추홀구 주승로31번길 28-10","20200727","Y","2021-03-05 11:57:13.000",,"1800","001",2,30,1938737.05545,"Y",37.4449304,28177047,,"001"
"943-0",,126.668059,,,"2025-05-12 14:04:33.000","2818579000","1000","2025",68,,"동남아파트경로당",,,"3520229",1,"20240930","인천광역시 연수구 먼우금로 19","20240520","Y","2021-03-29 14:09:24.000",,"1800","001",0,160,,"Y",37.401139,28185034,,"003"
"941-0",,126.669029,,,"2025-05-12 14:14:13.000","2818579000","1000","2025",33,,"대동경로당",,,"3520229",1,"20240930","인천광역시 연수구 먼우금로 69","20240520","Y","2021-03-29 14:09:24.000",,"1800","001",3,133,,"Y",37.405673,28185035,,"003"
"924-3",,126.675643,,,"2025-05-12 14:16:06.000","2818579500","1000","2025",36,,"럭키삼성(아)경로당",,,"3520229",2,"20240930","인천광역시 연수구 원인재로 81","20240520","Y","2021-03-29 14:09:24.000",,"1800","001",4,144,,"Y",37.407252,28185038,,"003"
"577-1",,126.451436,"Y","0900","2024-09-05 12:09:47.000","2871034000","0900","2025",50,"Y","덕포2리(양지촌)경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 화도면신촌길27번길 13-24 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",0,63,,"Y",37.625843,28710093,,"003"
"212-0",,126.455077,"Y","0900","2024-09-05 12:12:53.000","2871034000","0900","2025",60,"Y","사기리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 화도면해안남로1134번길 9 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,170.04,,"Y",37.615352,28710094,,"003"
"1578-0",928682.082716,126.6936446,"N",,"2025-05-13 09:48:48.000","2817765000","1300","2025",19,"N","주안4동분회경로당",,"N","3510566",2,"20200904","인천광역시 미추홀구 구월남로 38","20200518","Y","2021-03-05 11:57:13.000",,"1700","001",3,158,1939753.307779,"Y",37.4542265,28177048,,"003"
"1552-16",928388.08335,126.6903121,"N",,"2025-05-13 09:48:49.000","2817765000","0900","2025",20,"N","주안4동행정복지센터",,"N","3510566",2,"20200930","인천광역시 미추홀구 구월남로 5","20200727","Y","2021-03-05 11:57:13.000",,"1800","001",2,65,1939843.17125,"Y",37.4550137,28177049,,"001"
"173-1",,126.6389039,"N",,"2025-05-13 18:19:14.000","2826053700","0900","2025",89,"N","청라호반베르디움4차아파트경로당",,"N","3560247",9,"99991231","인천광역시 서구 청라커낼로 163","20210520","Y","2021-04-26 16:50:22.000",,"1800","001",4,353,,"Y",37.5276976,28260118,,"003"
"1636-0",,126.6633279,"N","0900","2025-04-30 16:32:19.000","4157052500","1300","2025",35,"N","풍경채경로당","1800","N","4090449",1,"20240930","경기도 김포시 김포한강2로 189 (장기동, 고창마을 제일풍경채아파트)","20240520","Y","2021-03-09 15:48:45.000",,"1700","001",4,115.5,,"Y",37.6429312,41570102,,"003"
"1312-0",,126.665902,"N","0900","2025-04-29 13:18:27.000","4157052500","1300","2025",26,"N","청송3단지경로당","1800","N","4090449",1,"20240930","경기도 김포시 청송로 19 (장기동, 청송마을현대아파트)","20240520","Y","2021-03-09 15:48:45.000",,"1700","001",4,129,,"Y",37.6489529,41570103,,"003"
"1342-0",,126.6678144,"N","0900","2025-04-29 13:17:48.000","4157052500","1300","2025",53,"N","청송2단지아파트경로당","1800","N","4090449",3,"20240930","경기도 김포시 청송로 20 (장기동, 청송마을현대아파트)","20240520","Y","2021-03-09 15:48:45.000",,"1700","001",4,231,,"Y",37.6463289,41570105,,"003"
"145-1",,126.6598859,"N","0900","2025-04-30 15:36:28.000","4157052500","1300","2025",37,"N","운곡경로당","1800","N","4090449",1,"20240930","경기도 김포시 운곡로 17-5 (장기동)","20240520","Y","2021-03-09 15:48:45.000",,"1700","001",2,92,,"Y",37.6499331,41570106,,"003"
"1479-0",,126.7206024,"N","0900","2025-04-30 16:05:06.000","4157054000","1300","2025",30,"N","사우한신아파트경로당","1800","N","4090449",2,"20230930","경기도 김포시 돌문로15번길 45 (사우동, 다솜마을아파트)","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",2,95,,"Y",37.6161239,41570107,,"003"
"1629-0",,126.6647597,"N","0900","2025-04-29 13:33:15.000","4157052500","1300","2025",43,"N","자연앤어울림경로당","1800","N","4090449",3,"20240930","경기도 김포시 김포한강2로 192 (장기동, 한강신도시어울림)","20240520","Y","2021-03-09 15:48:45.000",,"1700","001",4,151.19,,"Y",37.6447381,41570097,,"003"
